#   Time (s)     Flux (ppm)    Error (ppm)
1184610.1503     -469.38657      50.67368
1186375.5879     -428.79581      50.67527
1188141.0341       56.14758      50.69716
1189906.4891     -245.03470      50.68561
1191671.9354     -429.63028      50.68174
1193437.3730     -488.51965      50.67699
1195202.8280     -361.85980      50.68498
1196968.2744     -500.14258      50.68773
1198733.7208     -605.04675      50.66571
1200499.1672     -245.86916      50.67694
1202264.6050        0.00000      50.68363
1204030.0600       61.39278      50.68797
1205795.5065      -56.68402      50.68364
1207560.9444       48.75660      50.68830
1209326.3995      287.17517      50.69524
1211091.8460      234.24625      50.68715
1212857.3012      192.40379      50.69216
1214622.7392      116.70589      50.68581
1216388.1858      267.14801      50.69511
1218153.6410      379.92001      50.69472
1219919.0790      295.04300      50.68700
1221684.5257       95.48664      50.68868
1223449.9810        1.19209      50.68244
1225215.4190      317.21591      50.69001
1226980.8657      265.59830      50.68438
1228746.3211      -36.29923      50.68271
1230511.7592     -259.10138      50.67839
1232277.2147        6.67572      50.68891
1234042.6615     -232.10049      50.67253
1235808.1083     -501.27505      50.67395
1237573.5551     -710.12976      50.66463
1239339.0020     -591.33771      50.66915
1241104.4489       10.84805      50.68023
1242869.8958     -131.18982      50.68298
1244635.3427     -369.66800      50.68042
1246400.7983     -460.08826      50.66582
1248166.2453     -525.35535      50.67269
1249931.6836     -165.52209      50.68241
1251697.1393       85.11543      50.67377
1253462.5777      262.49884      50.68691
1255228.0247      186.68175      50.68790
1256993.4804      136.73306      50.68042
1258758.9189      207.66258      50.67352
1260524.3660      276.68475      50.68891
1262289.8218      264.64462      50.68890
1264055.2603      340.46173      50.68943
1265820.7161      -48.39897      50.67924
1267586.1633     -226.31883      50.68646
1269351.6019      -19.72914      50.68003
1271117.0578       90.47985      50.68085
1272882.5051      195.74165      50.69140
1274647.9437     -221.07362      50.67219
1276413.3996     -523.68640      50.67210
1278178.8470     -875.94983      50.66354
1279944.3030     -478.20807      50.67608
1281709.7417       12.87460      50.67602
1283475.1891     -103.05643      50.68365
1285240.6451     -638.66376      50.67607
1287006.0839     -817.12006      50.66172
1288771.5314     -780.52283      50.66275
1290536.9875     -497.22195      50.67611
1292302.4263     -129.16327      50.68535
1294067.8739      168.80035      50.68214
1295833.3300     -208.55666      50.67692
1297598.7776     -649.21381      50.66925
1299364.2252     -570.41644      50.66920
1301129.6728        0.59605      50.68473
1302895.1204      125.52738      50.68019
1304660.5767     -312.03030      50.67570
1306426.0157     -143.28957      50.67993
1308191.4634      -77.66486      50.68428
1309956.9111      103.95050      50.68758
1311722.3588      243.90221      50.69181
1313487.8152      125.28896      50.68938
1315253.2543      -38.26618      50.69059
1317018.7021      143.28957      50.68798
1318784.1586      -83.74452      50.68033
1320549.5977       30.75600      50.67875
